passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
3-6,4,2,18,12819,205715.12,1,0.0004861,0-5%
3-6,4,2,14,12721,234650.6,4,0.0017047,0-5%
3-6,6,1,7,11934,171909.05,39623.71,23.0492286,20%+
3-6,4,2,19,11790,176584.75,0,0,0-5%
3-6,4,2,13,11654,208956.42,0,0,0-5%
3-6,4,1,8,11488,208689.63,46295.75,22.1840204,20%+
3-6,3,2,9,11488,188796.29,0,0,0-5%
3-6,3,2,23,11032,174713.01,0,0,0-5%
3-6,4,2,12,10957,188663.71,0,0,0-5%
3-6,5,1,1,10924,143730.5,34529.34,24.0236693,20%+
3-6,3,1,3,9948,136060.69,29737.07,21.8557395,20%+
3-6,4,2,11,9845,168979.51,2.66,0.0015742,0-5%
3-6,6,1,0,9615,137944.5,32815.65,23.7890238,20%+
3-6,4,2,20,9584,141516.98,5.7,0.0040278,0-5%
3-6,4,1,1,9378,127914.55,28596.58,22.3560025,20%+
3-6,4,2,21,8989,137932.21,12.31,0.0089247,0-5%
3-6,4,2,10,8946,146753.2,2.46,0.0016763,0-5%
3-6,5,2,14,8879,128136.2,0,0,0-5%
3-6,5,2,15,8803,127076.51,0,0,0-5%
3-6,3,1,6,8510,204276.87,43493.96,21.2916714,20%+
3-6,5,2,13,8146,113587,0,0,0-5%
3-6,4,1,7,8137,149808.56,33464.22,22.3379892,20%+
3-6,5,2,17,8122,114546,0,0,0-5%
3-6,5,2,18,8006,107906,0,0,0-5%
3-6,5,2,16,8002,118885.5,0,0,0-5%
3-6,4,2,22,7896,118820.2,0,0,0-5%
3-6,5,2,12,7806,104622.5,0,0,0-5%
3-6,3,2,8,7709,139673.73,0,0,0-5%
3-6,5,2,11,7599,100683.51,0,0,0-5%
3-6,3,2,0,7574,125502.33,2.16,0.0017211,0-5%
3-6,5,1,2,7264,89717,21850.55,24.3549717,20%+
3-6,5,2,19,7142,92463,0,0,0-5%
3-6,5,2,10,7043,92281.7,0,0,0-5%
3-6,6,1,1,6806,88025.5,20919.48,23.7652498,20%+
3-6,6,1,6,6683,117138,26625.45,22.7299851,20%+
3-6,5,2,20,6627,84540.5,0,0,0-5%
3-6,4,2,9,6532,110116.26,0,0,0-5%
3-6,5,2,21,6334,82481.5,0,0,0-5%
